Time (s)             ,Temperature (C) ,Relative Humidity (%)
277.47874307632446   ,           33.7 ,                 99.0
279.50617003440857   ,           33.5 ,                 99.0
281.53762316703796   ,           33.4 ,                 99.0
283.56511902809143   ,           33.3 ,                 99.0
285.592413187027     ,           33.2 ,                 99.0
287.6198582649231    ,           33.0 ,                 99.0
289.65124702453613   ,           32.9 ,                 99.0
291.678697347641     ,           32.8 ,                 99.0
293.70612120628357   ,           32.6 ,                 99.0
295.7373402118683    ,           32.5 ,                 99.0
297.76486015319824   ,           32.4 ,                 99.0
299.7922830581665    ,           32.3 ,                 99.0
301.8236620426178    ,           32.1 ,                 99.0
303.8511972427368    ,           32.0 ,                 99.0
305.8786151409149    ,           31.9 ,                 99.0
307.9100410938263    ,           31.8 ,                 99.0
309.93742203712463   ,           31.7 ,                 99.0
311.9647641181946    ,           31.5 ,                 99.0
313.99619913101196   ,           31.4 ,                 99.0
316.02363634109497   ,           31.3 ,                 99.0
318.05098009109497   ,           31.2 ,                 99.0
320.0825071334839    ,           31.1 ,                 99.0
322.10985803604126   ,           31.0 ,                 99.0
324.1372992992401    ,           30.9 ,                 99.0
326.16864824295044   ,           30.8 ,                 99.0
328.19605803489685   ,           30.7 ,                 99.0
330.2236430644989    ,           30.6 ,                 99.0
332.2548391819       ,           30.5 ,                 99.0
334.28234601020813   ,           30.4 ,                 99.0
336.3098101615906    ,           30.3 ,                 99.0
338.34125208854675   ,           30.2 ,                 99.0
340.3686399459839    ,           30.1 ,                 99.0
342.3959412574768    ,           30.0 ,                 99.0
344.4273421764374    ,           29.9 ,                 99.0
346.4548852443695    ,           29.8 ,                 99.0
348.4822142124176    ,           29.7 ,                 99.0
350.5136721134186    ,           29.6 ,                 99.0
352.5410830974579    ,           29.6 ,                 99.0
354.56844997406006   ,           29.5 ,                 99.0
356.5998911857605    ,           29.4 ,                 99.0
358.62741923332214   ,           29.3 ,                 99.0
360.65469312667847   ,           29.2 ,                 99.0
362.6861093044281    ,           29.1 ,                 99.0
364.71357321739197   ,           29.1 ,                 99.0
366.74089312553406   ,           29.0 ,                 99.0
368.77232098579407   ,           28.9 ,                 99.0
370.7997372150421    ,           28.8 ,                 99.0
372.8271780014038    ,           28.8 ,                 99.0
374.85856199264526   ,           28.7 ,                 99.0
376.8860070705414    ,           28.6 ,                 99.0
378.9133880138397    ,           28.5 ,                 99.0
380.94476103782654   ,           28.5 ,                 99.0
382.9721131324768    ,           28.4 ,                 99.0
384.99953508377075   ,           28.3 ,                 99.0
387.03100633621216   ,           28.2 ,                 99.0
389.05836510658264   ,           28.2 ,                 99.0
391.0857582092285    ,           28.1 ,                 99.0
393.1172180175781    ,           28.0 ,                 99.0
395.1445469856262    ,           28.0 ,                 99.0
397.17210817337036   ,           27.9 ,                 99.0
