Time (s)             ,Temperature (C) ,Relative Humidity (%)
  3.5704739093780518 ,           22.1 ,                 99.0
  5.597828149795532  ,           22.1 ,                 99.0
  7.625334978103638  ,           22.1 ,                 99.0
  9.656545162200928  ,           22.1 ,                 99.0
 11.683930158615112  ,           22.1 ,                 99.0
 13.715185165405273  ,           22.1 ,                 99.0
 15.742672204971313  ,           22.1 ,                 99.0
 17.770114183425903  ,           22.1 ,                 99.0
 19.801391124725342  ,           22.1 ,                 99.0
 21.828930139541626  ,           22.2 ,                 99.0
 23.85622501373291   ,           22.3 ,                 99.0
 25.887681007385254  ,           22.4 ,                 99.0
 27.915033102035522  ,           22.6 ,                 99.0
 29.94241213798523   ,           22.9 ,                 99.0
 31.973721027374268  ,           23.3 ,                 99.0
 34.00110912322998   ,           23.8 ,                 99.0
 36.02841329574585   ,           24.4 ,                 99.0
 38.05992603302002   ,           25.1 ,                 99.0
 40.087268114089966  ,           26.0 ,                 99.0
 42.114705085754395  ,           26.9 ,                 99.0
 44.14614391326904   ,           28.0 ,                 99.0
 46.17346405982971   ,           29.3 ,                 99.0
 48.20085120201111   ,           30.6 ,                 99.0
 50.232259035110474  ,           32.1 ,                 99.0
 52.25961208343506   ,           33.6 ,                 99.0
 54.28707718849182   ,           35.3 ,                 99.0
 56.31839609146118   ,           37.1 ,                 99.0
 58.34573316574097   ,           38.9 ,                 99.0
 60.373181104660034  ,           40.7 ,                 99.0
 62.40459108352661   ,           42.6 ,                 99.0
 64.43195414543152   ,           44.4 ,                 99.0
 66.45933699607849   ,           46.1 ,                 99.0
 68.48675918579102   ,           47.7 ,                 99.0
 70.51817393302917   ,           49.3 ,                 99.0
 72.54541015625      ,           50.8 ,                 98.0
 74.57275009155273   ,           52.2 ,                 97.0
 76.60424900054932   ,           53.6 ,                 96.0
 78.6314868927002    ,           54.9 ,                 96.0
 80.6588830947876    ,           56.1 ,                 96.0
 82.69028496742249   ,           57.2 ,                 96.0
 84.71775102615356   ,           58.0 ,                 96.0
 86.7450532913208    ,           58.7 ,                 96.0
 88.77645206451416   ,           59.3 ,                 96.0
 90.80392026901245   ,           59.7 ,                 96.0
 92.83129215240479   ,           59.9 ,                 96.0
 94.86262011528015   ,           60.0 ,                 96.0
 96.89004325866699   ,           60.0 ,                 96.0
 98.91739511489868   ,           60.0 ,                 96.0
100.94897723197937   ,           59.9 ,                 96.0
102.9760971069336    ,           59.7 ,                 96.0
105.00370812416077   ,           59.4 ,                 96.0
107.03092312812805   ,           59.0 ,                 96.0
109.0623140335083    ,           58.6 ,                 96.0
111.08976721763611   ,           58.2 ,                 96.0
113.11710810661316   ,           57.8 ,                 96.0
115.14842796325684   ,           57.3 ,                 96.0
117.1758360862732    ,           56.9 ,                 96.0
119.20340013504028   ,           56.4 ,                 96.0
121.23468518257141   ,           55.9 ,                 96.0
123.2620210647583    ,           55.5 ,                 96.0
125.28941321372986   ,           55.0 ,                 96.0
127.32082915306091   ,           54.6 ,                 96.0
129.3482003211975    ,           54.1 ,                 96.0
131.37537813186646   ,           53.7 ,                 96.0
133.40691089630127   ,           53.2 ,                 96.0
135.43434596061707   ,           52.8 ,                 96.0
137.46174001693726   ,           52.4 ,                 96.0
139.4891209602356    ,           52.0 ,                 96.0
141.52048301696777   ,           51.5 ,                 96.0
143.5479531288147    ,           51.1 ,                 96.0
145.575208902359     ,           50.7 ,                 96.0
147.60668516159058   ,           50.3 ,                 96.0
149.6340742111206    ,           49.9 ,                 96.0
151.66129612922668   ,           49.5 ,                 96.0
153.69279217720032   ,           49.1 ,                 96.0
155.72014999389648   ,           48.8 ,                 96.0
157.7474901676178    ,           48.4 ,                 96.0
159.7749502658844    ,           48.0 ,                 96.0
161.80624103546143   ,           47.6 ,                 96.0
