Time (s),Temperature (C),Relative Humidity (%)
232.8140320777893,40.0,99.0
234.84561681747437,39.7,99.0
236.8728940486908,39.5,99.0
238.90417623519897,39.3,99.0
240.93174505233765,39.1,99.0
242.95900583267212,38.9,99.0
244.99052214622498,38.7,99.0
247.017804145813,38.5,99.0
249.0452709197998,38.3,99.0
251.07275295257568,38.1,99.0
253.1041021347046,37.9,99.0
255.13165998458862,37.7,99.0
257.1629569530487,37.5,99.0
259.19032192230225,37.4,99.0
261.2178990840912,37.2,99.0
263.245187997818,37.0,99.0
265.27666211128235,36.8,99.0
267.3040859699249,36.7,99.0
269.3314940929413,36.5,99.0
271.3629298210144,36.3,99.0
273.39033102989197,36.2,99.0
275.4174919128418,36.0,99.0
277.44911003112793,35.9,99.0
279.4765319824219,35.7,99.0
281.50397419929504,35.6,99.0
283.53533005714417,35.4,99.0
285.5626881122589,35.3,99.0
287.5901219844818,35.1,99.0
289.6215491294861,35.0,99.0
291.6489851474762,34.8,99.0
293.67638301849365,34.7,99.0
295.7077260017395,34.6,99.0
297.73511815071106,34.4,99.0
299.76255202293396,34.3,99.0
301.7939109802246,34.1,99.0
303.82089591026306,34.0,99.0
305.8477740287781,33.9,99.0
307.87872195243835,33.8,99.0
309.9057002067566,33.6,99.0
311.9328761100769,33.5,99.0
313.95991492271423,33.4,99.0
315.9912030696869,33.3,99.0
318.0183959007263,33.1,99.0
320.04560804367065,33.0,99.0
322.0768828392029,32.9,99.0
324.10420393943787,32.8,99.0
326.13137888908386,32.6,99.0
328.16275095939636,32.5,99.0
330.1900370121002,32.4,99.0
332.2174451351166,32.3,99.0
334.24869084358215,32.2,99.0
336.2760691642761,32.1,99.0
338.30343079566956,32.0,99.0
340.33106994628906,31.8,99.0
342.36211609840393,31.7,99.0
344.38945984840393,31.6,99.0
346.4169158935547,31.5,99.0
348.44824504852295,31.4,99.0
350.475604057312,31.3,99.0
352.5070159435272,31.2,99.0
354.534548997879,31.1,99.0
356.5617849826813,31.0,99.0
358.5932970046997,30.9,99.0
360.6205270290375,30.8,99.0
362.64796113967896,30.7,99.0
364.67941308021545,30.6,99.0
366.7066879272461,30.5,99.0
368.734139919281,30.4,99.0
370.7656261920929,30.3,99.0
372.7929470539093,30.2,99.0
374.8202919960022,30.1,99.0
376.8518409729004,30.0,99.0
378.87921690940857,29.9,99.0
380.906466960907,29.8,99.0
382.93397402763367,29.8,99.0
384.96536016464233,29.7,99.0
386.99273705482483,29.6,99.0
389.0242381095886,29.5,99.0
391.0516450405121,29.4,99.0
393.07912397384644,29.3,99.0
395.11043095588684,29.2,99.0
397.1378948688507,29.1,99.0
399.16521692276,29.1,99.0
401.1926259994507,29.0,99.0
403.2240629196167,28.9,99.0
405.25150990486145,28.8,99.0
407.2789628505707,28.8,99.0
409.31040692329407,28.7,99.0
411.3376729488373,28.6,99.0
413.36506485939026,28.5,99.0
415.39877820014954,28.5,99.0
417.4237880706787,28.4,99.0
419.45133209228516,28.3,99.0
421.48265504837036,28.2,99.0
423.510094165802,28.2,99.0
425.5376009941101,28.1,99.0
427.56894993782043,28.0,99.0
429.59640097618103,28.0,99.0
431.6237099170685,27.9,99.0
433.6551821231842,27.8,99.0
435.68257999420166,27.8,99.0
437.7099142074585,27.7,99.0
439.74133706092834,27.6,99.0
441.76882004737854,27.6,99.0
443.79625391960144,27.5,99.0
445.8276879787445,27.5,99.0
447.8550021648407,27.4,99.0
449.88246512413025,27.3,99.0
451.9139120578766,27.3,99.0
453.9412200450897,27.2,99.0
455.96872901916504,27.2,99.0
458.000070810318,27.1,99.0
460.02757811546326,27.0,99.0
462.0548310279846,27.0,99.0
464.08627796173096,26.9,99.0
466.11373376846313,26.9,99.0
468.1412179470062,26.8,99.0
470.17254090309143,26.8,99.0
472.1999559402466,26.7,99.0
474.2273190021515,26.7,99.0
476.2587478160858,26.6,99.0
478.28612089157104,26.6,99.0
480.3135769367218,26.5,99.0
482.3450381755829,26.5,99.0
484.3723478317261,26.4,99.0
486.3998610973358,26.4,99.0
488.43118691444397,26.3,99.0
490.4585988521576,26.3,99.0
492.4859969615936,26.2,99.0
494.51737999916077,26.2,99.0
496.54488015174866,26.1,99.0
498.5723261833191,26.1,99.0
500.60366106033325,26.0,99.0
502.631059885025,26.0,99.0
504.6584188938141,25.9,99.0
506.6898281574249,25.9,99.0
508.7172689437866,25.8,99.0
510.7447512149811,25.8,99.0
512.7761521339417,25.8,99.0
514.8034999370575,25.7,99.0
516.8310301303864,25.7,99.0
518.8622760772705,25.6,99.0
520.8897490501404,25.6,99.0
522.9172008037567,25.6,99.0
524.9485430717468,25.5,99.0
526.9759740829468,25.5,99.0
529.0033779144287,25.4,99.0
531.0308239459991,25.4,99.0
533.0622248649597,25.4,99.0
535.0896718502045,25.3,99.0
537.1210820674896,25.3,99.0
539.1483688354492,25.2,99.0
541.1757700443268,25.2,99.0
543.2071988582611,25.2,99.0
545.2345731258392,25.1,99.0
547.2624161243439,25.1,99.0
549.2934200763702,25.1,99.0
551.320848941803,25.0,99.0
553.3483529090881,25.0,99.0
555.3798189163208,25.0,99.0
557.4071300029755,24.9,99.0
559.4344718456268,24.9,99.0
561.4659042358398,24.9,99.0
563.4932889938354,24.8,99.0
565.5206499099731,24.8,99.0
567.5481860637665,24.8,99.0
569.5795121192932,24.7,99.0
571.606938123703,24.7,99.0
573.6344199180603,24.7,99.0
575.665708065033,24.7,99.0
